a_o,c_digo_municipio,municipio,c_digo_departamento,departamento,c_digo_etc,etc,poblaci_n_5_16,tasa_matriculaci_n_5_16,cobertura_neta,cobertura_neta_transici_n,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_transici_n,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tama_o_promedio_de_grupo,sedes_conectadas_a_internet,deserci_n,deserci_n_transici_n,deserci_n_primaria,deserci_n_secundaria,deserci_n_media,aprobaci_n,aprobaci_n_transici_n,aprobaci_n_primaria,aprobaci_n_secundaria,aprobaci_n_media,reprobaci_n,reprobaci_n_transici_n,reprobaci_n_primaria,reprobaci_n_secundaria,reprobaci_n_media,repitencia,repitencia_transici_n,repitencia_primaria,repitencia_secundaria,repitencia_media
2023,88001,San Andrés,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",3827.0,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",9656,98.05,98.01,80.42,96.7,87.35,53.43,103.78,93.63,109.08,110.74,81.02,,,3.3,2.95,2.24,4.59,3.67,88.42,0.0,92.25,81.54,89.32,8.28,0.0,5.51,13.86,7.01,11.84,2.36,9.75,17.84,7.56
2023,86885,Villagarzón,86,Putumayo,3826.0,Putumayo (ETC),5833,98.13,98.13,63.84,97.74,81.48,45.26,106.15,96.9,114.86,110.37,80.84,,,6.08,3.39,4.05,9.5,6.02,87.3,0.45,91.89,78.34,89.11,6.63,0.45,4.05,12.16,4.88,11.6,3.85,9.92,16.81,8.12
2023,86865,Valle del Guamuez,86,Putumayo,3826.0,Putumayo (ETC),7438,98.0,97.97,79.6,99.22,77.44,50.15,108.44,123.68,117.17,104.41,90.79,,,5.81,7.25,4.75,7.36,4.68,87.92,0.0,90.0,82.64,90.75,6.28,0.0,5.25,10.0,4.58,8.9,2.74,8.8,12.26,4.88
2023,86760,Santiago,86,Putumayo,3826.0,Putumayo (ETC),1522,75.82,75.82,56.52,75.46,62.78,48.15,81.6,86.96,84.36,82.21,69.96,,,4.83,4.17,1.45,9.2,5.88,89.29,0.83,96.18,78.86,87.65,5.88,0.83,2.36,11.94,6.47,5.88,0.0,3.45,11.69,4.12
2023,86757,San Miguel,86,Putumayo,3826.0,Putumayo (ETC),4636,88.46,88.46,58.85,89.61,68.85,40.44,97.86,111.98,109.15,91.77,74.81,,,6.05,6.12,6.04,7.39,2.59,88.86,3.53,89.69,85.76,92.23,5.09,3.53,4.28,6.85,5.18,7.62,1.41,8.89,9.22,3.39
2023,86755,San Francisco,86,Putumayo,3826.0,Putumayo (ETC),1159,67.56,67.56,41.57,69.98,53.02,37.69,79.47,67.42,77.8,81.66,84.42,,,5.33,6.67,1.36,10.49,5.36,90.83,0.0,95.38,83.15,92.86,3.84,0.0,3.26,6.37,1.79,10.04,1.67,4.08,16.1,19.64
2023,86749,Sibundoy,86,Putumayo,3826.0,Putumayo (ETC),2960,97.09,97.03,70.42,84.32,88.82,84.27,106.15,92.08,91.91,109.67,139.42,,,3.19,2.44,1.78,4.87,2.88,92.92,0.0,96.34,87.05,95.93,3.9,0.0,1.87,8.08,1.19,5.83,0.98,4.22,9.18,4.24
2023,86573,Leguízamo,86,Putumayo,3826.0,Putumayo (ETC),8182,60.17,60.16,29.8,61.12,46.83,22.47,66.0,56.21,77.48,65.34,41.08,,,7.21,6.78,5.06,10.27,8.96,88.15,0.0,89.85,84.04,88.96,4.63,0.0,5.1,5.69,2.08,10.64,3.52,12.68,10.27,6.25
2023,86571,Puerto Guzmán,86,Putumayo,3826.0,Putumayo (ETC),9596,48.4,48.4,27.99,48.97,35.75,13.52,53.7,54.62,63.51,53.38,27.44,,,8.7,6.32,6.25,13.25,8.94,84.68,0.0,87.7,77.09,85.91,6.61,0.0,6.05,9.66,5.15,13.98,3.39,14.95,16.59,8.4
2023,86569,Puerto Caicedo,86,Putumayo,3826.0,Putumayo (ETC),3311,67.35,67.35,50.35,74.37,49.03,27.81,71.13,83.33,86.4,61.77,44.01,,,6.11,7.08,4.89,7.77,6.69,88.54,0.0,90.39,84.45,86.19,5.35,0.0,4.72,7.77,7.11,8.96,5.83,9.28,11.21,4.18
2023,86568,Puerto Asís,86,Putumayo,3826.0,Putumayo (ETC),14965,91.89,91.87,62.55,87.49,74.92,39.15,108.66,103.0,109.05,117.9,92.35,,,5.85,5.72,5.02,7.36,4.52,84.08,1.22,87.14,77.02,87.85,10.07,1.22,7.84,15.62,7.62,11.05,4.31,12.01,13.16,4.85
2023,86320,Orito,86,Putumayo,3826.0,Putumayo (ETC),8938,94.93,94.9,61.55,91.06,78.59,49.0,104.39,103.18,108.67,107.69,87.73,,,5.23,6.09,3.92,6.63,5.7,86.48,0.14,91.57,78.55,84.66,8.28,0.14,4.51,14.83,9.64,9.34,3.05,8.55,13.11,6.21
2023,86219,Colón,86,Putumayo,3826.0,Putumayo (ETC),1003,76.97,76.97,40.22,71.93,78.3,53.7,82.25,71.74,80.05,93.08,72.84,,,2.55,0.0,1.74,3.72,3.39,93.7,0.0,94.2,90.88,95.76,3.76,0.0,4.06,5.41,0.85,5.21,6.06,6.67,4.39,2.54
2023,86001,Mocoa,86,Putumayo,3826.0,Putumayo (ETC),11635,84.55,84.49,60.92,82.01,71.33,44.41,94.5,90.13,94.97,102.11,80.81,,,4.3,2.88,2.57,7.15,2.97,87.48,0.0,92.73,78.41,89.52,8.22,0.0,4.7,14.44,7.5,8.93,1.57,7.15,14.27,4.53
2023,85440,Villanueva,85,Casanare,3825.0,Casanare (ETC),8074,97.13,97.13,72.71,96.17,83.89,58.01,103.9,92.18,109.02,108.0,88.56,,,4.84,3.74,4.59,5.99,3.18,89.57,0.0,91.41,84.55,92.74,5.59,0.0,4.01,9.46,4.09,7.13,1.07,6.47,11.01,2.27
2023,85430,Trinidad,85,Casanare,3825.0,Casanare (ETC),3333,88.69,88.69,58.42,82.98,74.95,48.93,96.34,74.26,98.48,105.79,83.69,,,4.35,4.89,3.79,5.32,3.5,89.32,0.0,88.55,87.19,94.61,6.33,0.0,7.66,7.49,1.89,10.51,0.89,12.23,11.33,7.55
2023,85410,Tauramena,85,Casanare,3825.0,Casanare (ETC),5696,92.43,92.36,68.39,91.36,81.3,49.26,100.18,89.46,103.88,105.76,84.92,,,3.47,4.44,3.21,3.79,2.93,89.07,0.0,91.33,85.36,89.0,7.45,0.0,5.46,10.85,8.06,5.92,2.96,6.24,7.48,2.05
2023,85400,Támara,85,Casanare,3825.0,Casanare (ETC),1676,85.2,85.2,76.69,86.76,65.09,35.61,89.56,100.75,108.63,80.53,55.04,,,4.88,0.75,3.18,9.11,4.76,87.14,0.0,92.45,75.17,84.13,7.98,0.0,4.37,15.72,11.11,7.84,0.75,7.95,9.79,7.94
2023,85325,San Luis de Palenque,85,Casanare,3825.0,Casanare (ETC),1910,82.98,82.98,67.46,83.98,68.44,34.14,88.53,81.07,97.35,92.11,60.0,,,3.65,5.11,3.34,4.36,1.38,80.77,0.73,83.04,71.73,88.28,15.58,0.73,13.61,23.91,10.34,9.71,0.0,10.64,12.52,3.45
2023,85315,Sácama,85,Casanare,3825.0,Casanare (ETC),494,52.63,52.63,31.11,58.94,42.68,35.29,56.28,44.44,63.77,51.59,52.94,,,3.24,5.0,0.76,3.7,8.89,94.24,0.0,96.21,95.06,86.67,2.52,0.0,3.03,1.23,4.44,4.68,0.0,3.79,9.88,0.0
2023,85300,Sabanalarga,85,Casanare,3825.0,Casanare (ETC),732,77.05,77.05,41.82,67.91,71.15,50.0,82.38,61.82,80.74,93.28,73.44,,,3.98,0.0,2.09,7.2,2.13,89.72,0.0,95.4,79.24,97.87,6.3,0.0,2.51,13.56,0.0,8.96,0.0,7.95,13.56,3.19
2023,85279,Recetor,85,Casanare,3825.0,Casanare (ETC),269,57.25,57.25,43.48,67.26,44.32,28.89,62.45,60.87,76.11,50.0,53.33,,,2.38,0.0,0.0,0.0,16.67,89.29,0.0,93.02,86.36,75.0,8.33,0.0,6.98,13.64,8.33,6.55,0.0,6.98,6.82,8.33
2023,85263,Pore,85,Casanare,3825.0,Casanare (ETC),2898,80.64,80.64,62.35,78.81,69.43,48.25,87.61,79.76,89.36,90.86,80.35,,,3.45,3.55,3.34,3.68,3.23,90.86,0.0,91.61,89.95,87.39,5.68,0.0,5.05,6.37,9.38,8.28,0.51,10.19,9.07,4.69
2023,85250,Paz de Ariporo,85,Casanare,3825.0,Casanare (ETC),8981,93.72,93.72,70.34,90.89,77.86,50.58,103.47,94.87,108.82,107.12,85.79,,,3.4,3.45,3.36,3.6,2.96,91.77,0.28,93.77,87.32,92.98,4.83,0.28,2.87,9.08,4.05,9.26,2.9,11.75,8.97,4.55
2023,85230,Orocué,85,Casanare,3825.0,Casanare (ETC),3471,72.63,72.63,42.71,66.98,64.64,37.73,79.83,70.17,77.81,91.31,66.17,,,6.27,1.93,3.46,9.89,7.72,88.53,0.0,93.51,81.9,85.46,5.2,0.0,3.03,8.21,6.82,8.0,0.97,7.87,10.68,4.75
2023,85225,Nunchía,85,Casanare,3825.0,Casanare (ETC),1952,81.97,81.97,56.18,78.67,73.0,49.19,88.37,74.72,89.15,99.36,71.84,,,1.87,2.26,1.07,3.29,0.49,93.38,0.0,95.19,88.39,98.04,4.75,0.0,3.74,8.32,1.47,7.1,2.26,5.21,10.92,6.37
